sp,sp_target,sp_name,info_id
CHTBAL,chthamalus_balanus|balanus,Acorn Barnacles,barnacles
ENDMUR,endocladia,Turfweed,algal-groups
FUCGAR,fucus,Northern Rockweed,algal-groups
HESCAL,hesperophycus,Olive Rockweed,algal-groups
MASPAP,mastocarpus,Turkish Washcloth,algal-groups
MYTCAL,mytilus,California Mussels,mussels
PELLIM,pelvetiopsis,Dwarf Rockweed,algal-groups
PHYOVR,phyllospadix,Surfgrass,algal-groups
POLPOL,pollicipes,Goose Barnacle,barnacles
SILCOM,silvetia,Golden Rockweed,algal-groups
TETRUB,tetraclita,Pink Barnacle,barnacles
TAR,tar,Tar,tar
MAZSPP ,mazzaella,Iridescent Weed,algal-groups